Date/Time,Open,High,Low,Difference %
2023.10.27,150.350,150.411,149.459,0.63
2023.10.26,150.182,150.776,149.830,0.63
2023.10.25,149.889,150.315,149.793,0.35
2023.10.24,149.693,149.929,149.320,0.41
2023.10.23,149.839,149.989,149.554,0.29
2023.10.20,149.771,149.992,149.639,0.24
2023.10.19,149.903,149.959,149.663,0.20
2023.10.18,149.788,149.936,149.481,0.30
2023.10.17,149.495,149.850,148.739,0.74
2023.10.16,149.341,149.764,149.337,0.29
2023.10.13,149.794,149.827,149.451,0.25
2023.10.12,149.152,149.827,148.952,0.59
2023.10.11,148.692,149.323,148.422,0.61
2023.10.10,148.487,149.097,148.161,0.63
2023.10.09,149.062,149.239,148.435,0.54
2023.10.06,148.500,149.535,148.358,0.79
2023.10.05,149.107,149.116,148.257,0.58
2023.10.04,148.962,149.317,148.733,0.39
2023.10.03,149.837,150.159,147.277,1.92
2023.10.02,149.606,149.876,149.429,0.30
2023.09.29,149.297,149.500,148.525,0.65
2023.09.28,149.609,149.609,149.143,0.31
2023.09.27,149.042,149.708,148.860,0.57
2023.09.26,148.872,149.185,148.701,0.33
2023.09.25,148.207,148.961,148.207,0.51
2023.09.22,147.562,148.418,147.502,0.62
2023.09.21,148.332,148.457,147.319,0.77
2023.09.20,147.823,148.356,147.472,0.60
2023.09.19,147.577,147.920,147.503,0.28
2023.09.18,147.674,147.877,147.555,0.22
2023.09.15,147.456,147.950,147.336,0.42
2023.09.14,147.445,147.564,147.016,0.37
2023.09.13,147.058,147.745,147.016,0.50
2023.09.12,146.569,147.233,146.436,0.54
2023.09.11,146.981,147.271,145.900,0.93
2023.09.08,147.279,147.870,146.584,0.87
2023.09.07,147.637,147.872,147.042,0.56
2023.09.06,147.718,147.816,147.016,0.54
2023.09.05,146.448,147.801,146.365,0.98
2023.09.04,146.170,146.495,146.022,0.32
2023.09.01,145.519,146.292,144.441,1.27
2023.08.31,146.218,146.227,145.348,0.60
2023.08.30,145.867,146.535,145.558,0.67
2023.08.29,146.521,147.374,145.667,1.17
2023.08.28,146.394,146.742,146.271,0.32
2023.08.25,145.827,146.634,145.719,0.63
2023.08.24,144.801,145.957,144.600,0.94
2023.08.23,145.876,145.877,144.538,0.92
